"地区","累计武汉滞留时间","风险携带者比例","武汉62家定点医院到访比例","华南海鲜市场到访比例","机场到访比例","火车站到访比例","累计确诊人数"
"陕西省",1017909501,0.3017016,0.0055632,0.0002121,5.05e-05,0,10
"安徽省",3658795146,0.4584488,0.0203039,0.000707,6.06e-05,0,18
"河南省",1207890248,0.2556419,0.0087436,0.0003333,0,0,16
"重庆市",134704206,0.0828918,0.0014337,7.07e-05,0,0,1
"内蒙古自治区",124010207,0.0156696,0.0006362,8.08e-05,0,0,2
"四川省",638694284,0.1653088,0.0019284,0.0001111,0,0,4
"甘肃省",390541851,0.0544906,0.0010198,3.03e-05,0,0,1
"广西壮族自治区",270193362,0.0959671,0.0012219,5.05e-05,0,0,2
"安徽省",637741122,0.1555559,0.004069,0.0002222,0.0002524,0,8
"内蒙古自治区",183858027,0.0343482,0.00104,0,1.01e-05,0,3
"陕西省",614523019,0.1424408,0.0043316,0.0001313,0.0002524,0,4
"上海市",255346106,0.0602757,0.0019385,9.09e-05,0,0,2
"河北省",1267231407,0.419154,0.0122371,0.0005353,0.0001212,0,7
"云南省",194768832,0.0333991,0.0005957,1.01e-05,7.07e-05,0,5
"广西壮族自治区",1065613094,0.0914434,0.0047555,0.0001717,0,0,15
"辽宁省",112872116,0.0173358,0.0005655,3.03e-05,0,0,3
"贵州省",832855143,0.1141707,0.0026757,0.0001414,0,0,1
"重庆市",99721870,0.0315009,0.0005755,5.05e-05,0,0,4
"天津市",219811735,0.0588118,0.001565,4.04e-05,0,0,2
"山东省",301729730,0.0894042,0.0019891,2.02e-05,0,0,9
"安徽省",1182017016,0.1778085,0.0056541,0.0002323,0,0,20
"河北省",1014945710,0.2856487,0.0057046,0.0001717,0,0,12
"北京市",238411310,0.0652432,0.0027968,0.000101,0.0017164,0,8
"湖南省",3820373458,0.4337633,0.0164978,0.0006666,7.07e-05,0,30
"江苏省",671641404,0.2286642,0.0084105,0.0003131,0.00209,0.0019083,10
"北京市",214971792,0.0233935,0.0008986,1.01e-05,3.03e-05,0,21
"辽宁省",214971792,0.0233935,0.0008986,1.01e-05,3.03e-05,0,4
"湖南省",1041209794,0.3881071,0.0129438,0.0004444,0,0,10
"四川省",2300033192,0.9874323,0.0307643,0.0007575,0.0363273,0.0134991,59
"河北省",306078483,0.0478371,0.0016862,2.02e-05,3.03e-05,0,2
"重庆市",54926054,0.0095209,0.0002019,0,0,0,1
"海南省",248489262,0.0213035,0.0007572,0,0,0,2
"安徽省",644528439,0.132748,0.0041093,0.0001313,4.04e-05,0,2
"内蒙古自治区",524097573,0.0477565,0.001777,5.05e-05,0,0,2
"安徽省",845339266,0.2508862,0.0081377,0.0002626,0,0,4
"四川省",1381819205,0.4815699,0.0060279,0.0002828,0.0011308,0,6
"重庆市",51894748,0.018951,0.0005856,2.02e-05,0,0,6
"云南省",196462883,0.0348327,0.0015347,4.04e-05,6.06e-05,0,4
"辽宁省",635750405,0.129709,0.004493,9.09e-05,0.0078854,0.0024332,5
"黑龙江省",260820450,0.0357111,0.0011006,2.02e-05,0,0,5
"山西省",501956402,0.0634261,0.0018781,2.02e-05,0,0,4
"黑龙江省",24737520,0.003342,0.000202,0,0,0,2
"北京市",212302678,0.085628,0.0024838,4.04e-05,3.03e-05,0.000414,10
"重庆市",169455922,0.0310971,0.0005957,3.03e-05,0,0,4
